year,Towada
2008-2009,390
2009-2010,219
2010-2011,204
2011-2012,178
2012-2013,223
2013-2014,125
2014-2015,98
2015-2016,93
2016-2017,14
2017-2018,46
2018-2019,19
2019-2020,20
2020-2021,36
2021-2022,17
2022-2023,17
2023-2024,56
