year,Kutcharo,Towada,Senba
2008-2009,243,390,488
2009-2010,210,219,398
2010-2011,494,204,447
2011-2012,233,178,377
2012-2013,242,223,374
2013-2014,118,125,295
2014-2015,119,98,339
2015-2016,117,93,394
2016-2017,273,14,190
2017-2018,160,46,68
2018-2019,115,19,49
2019-2020,432,20,36
2020-2021,269,36,76
2021-2022,275,17,84
2022-2023,1009,17,50
2023-2024,1087,56,11
