year,Kutcharo
2008-2009,243
2009-2010,210
2010-2011,494
2011-2012,233
2012-2013,242
2013-2014,118
2014-2015,119
2015-2016,117
2016-2017,273
2017-2018,160
2018-2019,115
2019-2020,432
2020-2021,269
2021-2022,275
2022-2023,1009
2023-2024,1087
